	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
'10	170	110	500	270	70	80	240	80	50	490	250	360	20	270	170	240	430	290	180	360	30	70	380	90	660	240	430	350	150	170	120	270	120	60	130	120	290	230	140	160	140	220
11-15	833	334	1958	495	227	306	889	438	37	2074	641	1060	175	710	602	870	1778	1501	450	1091	159	380	1799	152	2766	1278	1713	791	228	852	521	1001	212	248	658	158	1147	1407	726	344	267	488
16-20	632	141	1007	183	167	236	538	234	16	1685	188	770	49	568	206	465	1310	1207	295	476	0	151	1192	88	2199	779	971	540	124	525	282	950	73	69	349	87	882	714	258	109	89	333
21-50	1684	180	2419	470	166	471	1348	449	0	3854	464	2500	196	806	763	891	3351	2311	770	792	0	180	4175	198	7020	1897	2460	660	173	1200	697	3024	78	142	645	278	1150	2227	281	45	25	370
51-100	928	0	289	201	137	220	514	112	0	822	92	853	90	251	126	0	1486	1052	131	132	0	0	2023	0	4698	583	257	163	0	327	137	1210	52	0	136	0	236	178	0	0	0	0
101-150	221	0	119	110	0	224	272	0	0	132	124	243	0	0	0	0	615	0	0	0	0	0	236	0	1087	355	0	0	0	0	0	393	110	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	158	0	355	0	0	0	0	0	0	676	0	0	0	0	0	0	0	0	0	0
201-500	234	0	251	0	0	0	233	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	204	0	433	0	0	0	0	0	0	1898	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
